2,256,8192,58
2,256,16384,100
2,256,24576,143
2,256,32768,179
2,256,40960,213
2,256,49152,250
2,256,57344,286
2,256,65536,325
2,256,73728,372
2,256,81920,397
2,256,90112,441
2,256,98304,462
2,256,106496,497
2,256,114688,542
2,256,122880,574
2,256,131072,601
2,256,139264,637
2,256,147456,675
2,256,155648,711
2,256,163840,742
2,256,172032,781
2,256,180224,799
2,256,188416,848
2,256,196608,838
4,256,8192,58
4,256,16384,100
4,256,24576,143
4,256,32768,179
4,256,40960,213
4,256,49152,250
4,256,57344,286
4,256,65536,325
4,256,73728,372
4,256,81920,397
4,256,90112,441
4,256,98304,462
4,256,106496,497
4,256,114688,542
4,256,122880,574
4,256,131072,601
4,256,139264,637
4,256,147456,675
4,256,155648,711
4,256,163840,742
4,256,172032,781
4,256,180224,799
4,256,188416,848
4,256,196608,857
8,256,8192,58
8,256,16384,100
8,256,24576,143
8,256,32768,179
8,256,40960,213
8,256,49152,250
8,256,57344,286
8,256,65536,325
8,256,73728,372
8,256,81920,397
8,256,90112,441
8,256,98304,462
8,256,106496,497
8,256,114688,542
8,256,122880,574
8,256,131072,601
8,256,139264,637
8,256,147456,675
8,256,155648,711
8,256,163840,742
8,256,172032,781
8,256,180224,799
8,256,188416,848
8,256,196608,865
16,256,8192,58
16,256,16384,100
16,256,24576,143
16,256,32768,179
16,256,40960,213
16,256,49152,250
16,256,57344,286
16,256,65536,325
16,256,73728,372
16,256,81920,397
16,256,90112,441
16,256,98304,462
16,256,106496,497
16,256,114688,542
16,256,122880,574
16,256,131072,601
16,256,139264,637
16,256,147456,675
16,256,155648,711
16,256,163840,747
16,256,172032,781
16,256,180224,799
16,256,188416,848
16,256,196608,878
32,256,8192,58
32,256,16384,100
32,256,24576,143
32,256,32768,179
32,256,40960,213
32,256,49152,253
32,256,57344,291
32,256,65536,325
32,256,73728,372
32,256,81920,398
32,256,90112,441
32,256,98304,462
32,256,106496,497
32,256,114688,542
32,256,122880,574
32,256,131072,601
32,256,139264,637
32,256,147456,675
32,256,155648,711
32,256,163840,747
32,256,172032,781
32,256,180224,801
32,256,188416,848
32,256,196608,878
64,256,8192,58
64,256,16384,100
64,256,24576,143
64,256,32768,185
64,256,40960,215
64,256,49152,255
64,256,57344,291
64,256,65536,325
64,256,73728,372
64,256,81920,398
64,256,90112,441
64,256,98304,462
64,256,106496,512
64,256,114688,542
64,256,122880,574
64,256,131072,601
64,256,139264,637
64,256,147456,675
64,256,155648,711
64,256,163840,747
64,256,172032,781
64,256,180224,814
64,256,188416,867
64,256,196608,878
2,256,8192,60
2,256,16384,103
2,256,24576,142
2,256,32768,176
2,256,40960,214
2,256,49152,248
2,256,57344,294
2,256,65536,332
2,256,73728,366
2,256,81920,401
2,256,90112,430
2,256,98304,463
2,256,106496,500
2,256,114688,547
2,256,122880,575
2,256,131072,601
2,256,139264,639
2,256,147456,691
2,256,155648,709
2,256,163840,744
2,256,172032,797
2,256,180224,826
2,256,188416,837
2,256,196608,847
2,256,8192,56
2,256,16384,100
2,256,24576,139
2,256,32768,174
2,256,40960,222
2,256,49152,257
2,256,57344,295
2,256,65536,329
2,256,73728,357
2,256,81920,406
2,256,90112,431
2,256,98304,476
2,256,106496,500
2,256,114688,546
2,256,122880,566
2,256,131072,606
2,256,139264,647
2,256,147456,673
2,256,155648,708
2,256,163840,731
2,256,172032,762
2,256,180224,773
2,256,188416,809
2,256,196608,848
4,256,8192,56
4,256,16384,100
4,256,24576,139
4,256,32768,174
4,256,40960,222
4,256,49152,257
4,256,57344,295
4,256,65536,329
4,256,73728,357
4,256,81920,406
4,256,90112,431
4,256,98304,476
4,256,106496,500
4,256,114688,546
4,256,122880,570
4,256,131072,606
4,256,139264,647
4,256,147456,673
4,256,155648,711
4,256,163840,742
4,256,172032,787
4,256,180224,809
4,256,188416,851
4,256,196608,879
8,256,8192,56
8,256,16384,103
8,256,24576,139
8,256,32768,176
8,256,40960,222
8,256,49152,257
8,256,57344,295
8,256,65536,329
